CAGE,ID,PROJECT,SEX,EGLN2,MMTV-PYVT,C3TAG,DOB,AGE,FATHER,MOTHER,NOTES,MATED_W,FROM,TO,DUE,STATUS,1-MATED_W,1-FROM,1-TO,1-PUPS_DOB,1-NUM_PUPS,1-STATUS,2-MATED_W,2-FROM,2-TO,2-PUPS_DOB,2-NUM_PUPS,2-STATUS,3-MATED_W,3-FROM,3-TO,3-PUPS_DOB,3-NUM_PUPS,3-STATUS,4-MATED_W,4-FROM,4-TO,4-PUPS_DOB,4-NUM_PUPS,4-STATUS,5-MATED_W,5-FROM,5-TO,5-PUPS_DOB,5-NUM_PUPS,5-STATUS,6-MATED_W,6-FROM,6-TO,6-PUPS_DOB,6-NUM_PUPS,6-STATUS,7-MATED_W,7-FROM,7-TO,7-PUPS_DOB,7-NUM_PUPS,7-STATUS,8-MATED_W,8-FROM,8-TO,8-PUPS_DOB,8-NUM_PUPS,8-STATUS,9-MATED_W,9-FROM,9-TO,9-PUPS_DOB,9-NUM_PUPS,9-STATUS
2495492,905,B6*E2,F,,,,06/29/15,70,???,???,,,,,,,B6*E2_M,06/16/16,-,-,0,unsuccessful,B6*E2_M,07/06/16,08/03/16,-,-,unsuccessful,913,08/11/16,,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495492,906,B6*E2,F,,,,06/29/15,70,???,???,,,,,,,B6*E2_M,06/16/16,-,-,0,unsuccessful,B6*E2_M,07/06/16,08/03/16,-,-,unsuccessful,913,08/11/16,,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495493,912,B6*E2,F,,,,???,???,???,???,C57BL/6J WT donated from Whitmire lab,,,,,,B6*E2_M,06/16/16,-,-,0,unsuccessful,B6*E2_M,07/06/16,08/03/16,-,0,unsuccessful,B6*E2_M,08/11/16,,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495493,911,B6*E2,F,,,,???,???,???,???,C57BL/6J WT donated from Whitmire lab,,,,,,B6*E2_M,06/16/16,-,07/06/16,1,unsuccessful; 1 dead pup,B6*E2_M,07/06/16,08/03/16,-,0,unsuccessful,B6*E2_M,08/11/16,,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495494,913,B6*E2,M,,,,???,???,???,???,C57BL/6J WT donated from Whitmire lab,,,,,,B6*E2_F,06/16/16,-,-,0,unsuccessful,B6*E2_F,07/06/16,08/03/16,-,-,unsuccessful,905;906,08/11/16,,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495495,901,B6*E2,M,,,,07/29/15,66,???,???,,,,,,,B6*E2_F,05/13/16,06/21/16,-,0,unsuccessful,B6*E2_F,08/11/16,,-,0,unsuccessful,B6_F-RS961;B6_F-RS880,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495495,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16,,,,,,901,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495495,,B6*E2,F,,,,???,,???,???,donated - RS880 09/14/16,,,,,,901,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495498,,B6*E2,M,,,,???,,???,???,donated - RS880 09/14/16,,,,,,904,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495498,904,B6*E2,F,(+/-),,,07/23/15,67,177,B6,,,,,,,907,05/13/16,06/21/16,06/20/16,3,3 dead pups; bad mother,B6_M-RS880,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495498,907,B6*E2,F,(+/-),,,07/23/15,67,177,B6,,,,,,,B6_M-RS880,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495500,,B6*E2,M,,,,???,,???,???,donated 09/14/16,,,,,,908;909,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495500,908,B6*E2,F,(+/-),,,07/23/15,67,177,B6,,,,,,,B6_M,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495500,909,B6*E2,F,(+/-),,,07/23/15,67,177,B6,,,,,,,B6_M,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495503,634,C3TAG-EGLN2,F,(+/-),,(o/-),09/01/15,61,247,298;268,,,,,,,043,06/21/16,10/03/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495504,910,B6*E2,M,(+/-),,,07/23/15,67,177,B6,lesions on face and back,,,,,,B6_F-RS961;B6_F-RS961,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495504,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16,,,,,,910,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495504,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16,,,,,,910,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495505,,B6*E2,F,(+/-),,,07/23/15,67,177,B6,head tilt; DLAM continuously monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495508,231,PyVT,M,+/-,-/-,,08/24/16,10,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495509,229,PyVT,F,-/-,o/-,,08/24/16,10,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495510,234,PyVT,M,+/-,o/-,,08/24/16,10,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495511,225,PyVT,F,+/+,o/-,,08/24/16,10,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501530,208,PyVT,F,+/+,o/-,,08/10/16,12,003.1,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501531,220,PyVT,M,+/-,o/-,,08/10/16,12,101,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
