CAGE,ID,PROJECT,SEX,EGLN2,MMTV-PYVT,C3TAG,DOB,AGE,FATHER,MOTHER,NOTES,MATED_W,FROM,TO,DUE,STATUS,1-MATED_W,1-FROM,1-TO,1-PUPS_DOB,1-NUM_PUPS,1-STATUS,2-MATED_W,2-FROM,2-TO,2-PUPS_DOB,2-NUM_PUPS,2-STATUS,3-MATED_W,3-FROM,3-TO,3-PUPS_DOB,3-NUM_PUPS,3-STATUS,4-MATED_W,4-FROM,4-TO,4-PUPS_DOB,4-NUM_PUPS,4-STATUS,5-MATED_W,5-FROM,5-TO,5-PUPS_DOB,5-NUM_PUPS,5-STATUS,6-MATED_W,6-FROM,6-TO,6-PUPS_DOB,6-NUM_PUPS,6-STATUS,7-MATED_W,7-FROM,7-TO,7-PUPS_DOB,7-NUM_PUPS,7-STATUS,8-MATED_W,8-FROM,8-TO,8-PUPS_DOB,8-NUM_PUPS,8-STATUS,9-MATED_W,9-FROM,9-TO,9-PUPS_DOB,9-NUM_PUPS,9-STATUS
2495492,905,B6*E2,F,,,,06/29/15,81,???,???,,,,,,,B6*E2_M,06/16/16,08/03/16,-,0,unsuccessful,B6*E2_M,07/06/16,08/03/16,-,0,unsuccessful,913,08/11/16,09/15/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495492,906,B6*E2,F,,,,06/29/15,81,???,???,,,,,,,B6*E2_M,06/16/16,08/03/16,-,0,unsuccessful,B6*E2_M,07/06/16,08/03/16,-,0,unsuccessful,913,08/11/16,09/15/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495493,911,B6*E2,F,,,,???,???,???,???,C57BL/6J WT donated from Whitmire lab,,,,,,B6*E2_M,06/16/16,08/03/16,07/06/16,1,unsuccessful; 1 dead pup,B6*E2_M,07/06/16,08/03/16,-,0,unsuccessful,B6*E2_M,08/11/16,09/15/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495494,913,B6*E2,M,,,,???,???,???,???,C57BL/6J WT donated from Whitmire lab,,,,,,B6*E2_F,06/16/16,08/03/16,-,0,unsuccessful,B6*E2_F,07/06/16,08/03/16,-,0,unsuccessful,905;906,08/11/16,09/15/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495495,901,B6*E2,M,,,,07/29/15,77,???,???,,,,,,,B6*E2_F,05/13/16,06/21/16,-,0,unsuccessful,B6*E2_F,08/11/16,09/15/16,-,0,unsuccessful,B6_F-RS961;B6_F-RS880,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495498,,B6*E2,M,,,,???,,???,???,donated - RS880 09/14/16,,,,,,904,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495498,904,B6*E2,F,(+/-),,,07/23/15,78,177,B6,,,,,,,907,05/13/16,06/21/16,06/20/16,3,3 dead pups; bad mother,B6_M-RS880,09/19/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495500,908,B6*E2,F,(+/-),,,07/23/15,78,177,B6,,,,,,,B6_M,09/19/16,01/17/17,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495504,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16; 7 pups good mother,910,09/19/16,01/17/17,01/24/17,01/23/17,910,09/19/16,01/17/16,-,0,unsuccessful,910,09/19/16,01/17/16,01/03/17,7,successful; good mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495505,,B6*E2,F,(+/-),,,07/23/15,78,177,B6,head tilt; DLAM continuously monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495508,231,C3TAG-EGLN2,M,+/-,-/-,,08/24/16,21,003.1,177;199,,,,,,,634,11/07/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495508,634,C3TAG-EGLN2,F,(+/-),,(o/-),09/01/15,72,247,298;268,,,,,,,043,06/21/16,10/03/16,-,0,unsuccessful,231,11/07/16,-,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495510,234,PyVT,M,+/-,o/-,,08/24/16,21,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495511,225,PyVT,F,+/+,o/-,,08/24/16,21,003.1,177;199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501530,207,FVB/NJ*E2,F,-/-,-/-,,08/10/16,23,003.1,178,,,,,,,170,11/18/16,11/18/16,-,0,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501531,220,PyVT,M,+/-,o/-,,08/10/16,23,101,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501540,199,PyVT,F,(+/-),(-/-),,06/09/16,32,447,544,,,,,,,003.1,08/03/16,08/24/16,08/24/16,???,13 pups shared with 177,202,09/13/16,10/03/16,10/05/16,12,12 pups shared with 177; successful,186,11/03/16,11/29/16,11/25/16,4,successful; 4 pups shared with 226,186,11/03/16,11/29/16,12/18/16,8,successful; 8 pups shared with 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501540,226,PyVT,F,+/-,-/-,,08/24/16,21,003.1,177;199,,,,,,,sibling,???,09/13/16,10/11/16,5,impregnated by sibling before separating,221,10/03/16,10/24/16,10/23/16,7,successful,186,11/03/16,11/29/16,11/25/16,4,successful; 4 pups shared with 199,186,11/03/16,11/29/16,12/18/16,8,successful; 8 pups shared with 199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501544,447,FVB/NJ*E2,M,-/-,-/-,-/-,06/06/15,85,256,257;269,,,,,,,544,04/27/16,06/09/16,05/20/16,6,,544,05/20/16,06/09/16,06/09/16,9,successful,152,06/21/16,07/13/16,-,0,unsuccessful; female tumorous/unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501546,,FVB/NJ*E2,M,,,,07/07/15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501546,,FVB/NJ*E2,M,,,,07/07/15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501546,,FVB/NJ*E2,M,,,,07/07/15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501546,,FVB/NJ*E2,M,,,,07/07/15,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501551,192,FVB/NJ*E2,F,(+/-),(-/-),,06/09/16,32,447,544,,,,,,,101,08/21/16,09/07/16,09/11/16,???,3 pups shared with 191; successful,170,10/03/16,11/18/16,10/25/16,12,12 pups shared with 191; successful,170,10/24/16,11/18/16,11/20/16,4,successful; good mother,170,10/24/16,11/18/16,12/07/16,successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501554,216,FVB/NJ*E2,F,+/-,-/-,,08/10/16,23,101,157,,,,,,,196,10/03/16,11/03/16,10/23/16,6,6 live pups 1 dead; good mother; successful,196,10/03/16,11/03/16,11/18/16,7,successful; good mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501555,157,FVB/NJ*E2,F,+/-,-/-,-/-,01/17/16,52,515,516,,,,,,,101,04/27/16,05/17/16,-,0,unsuccessful,003.1,05/17/16,05/31/16,06/08/16,8,successful; good mother,101,07/18/16,07/25/16,08/10/16,8,successful; good mother,202,09/07/16,09/13/16,-,0,unsuccessful,202,10/03/16,11/14/16,10/23/16,9,9 pups shared with 159; good mother; successful,202,10/03/16,11/14/16,11/18/16,8,8 live pups 3 dead pinkies; good mother,,,,,,,,,,,,,,,,,,
2501558,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16,,,,,,901,09/19/16,-,-,0,unsuccessful,246,11/07/16,12/20/16,11/27/16,7 pups shared with RS880 donated 09/14/16,successful; good mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501558,,B6*E2,F,,,,???,,???,???,donated - RS961 09/14/16,,,,,,901,09/19/16,-,-,0,unsuccessful,246,11/07/16,12/20/16,11/27/16,7 pups shared with RS880 donated 09/14/16,successful; good mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560,227,FVB/NJ*E2,F,+/-,-/-,,08/24/16,21,003.1,177;199,6 pups; good mother,,,,,01/22/17,221,10/03/16,10/24/16,10/23/16,7,successful; good mother,221,10/03/16,10/24/16,11/13/16,6,successful; good mother,250,12/12/16,01/06/17,01/02/17,6,successful; 6 pups shared with 255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560,255,FVB/NJ*E2,F,+/-,-/-,,10/05/16,15,202,177,6 pups; good mother,,,,,01/22/17,250,12/12/16,01/06/17,01/02/17,6,successful; 6 pups shared with 227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501561,221,PyVT,M,+/-,o/-,,08/10/16,23,101,157,,,,,,,226;227,10/03/16,10/24/16,10/05/16,,successful with 227; 226 impregnated by sibling before harem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501562,256,PyVT,F,-/-,o/-,,10/05/16,15,202,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501562,258,PyVT,M,-/-,o/-,,10/05/16,15,202,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501563,262,FVB/NJ*E2,F,,-/-,,10/05/16,15,202,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
